日期,股票代码,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover,股　　票　　代　　码　,date,振幅,涨跌幅,涨跌额,换手率
,605028,28.16,27.1,28.75,27.0,30878,85547477.0,,,,,,2025-12-15,6.17,-4.41,-1.25,1.93
,605028,27.78,26.0,27.78,25.27,35382,92344998.0,,,,,,2025-12-16,9.26,-4.06,-1.1,2.21
,605028,26.0,27.05,27.36,25.81,25279,67717645.0,,,,,,2025-12-17,5.96,4.04,1.05,1.58
,605028,26.85,26.91,27.56,26.82,11583,31421780.0,,,,,,2025-12-18,2.74,-0.52,-0.14,0.72
,605028,26.91,26.92,27.19,26.62,13149,35321932.0,,,,,,2025-12-19,2.12,0.04,0.01,0.82
,605028,26.99,27.03,27.46,26.93,15507,42127683.0,,,,,,2025-12-22,1.97,0.41,0.11,0.97
,605028,27.0,26.71,27.25,26.65,11185,30002837.0,,,,,,2025-12-23,2.22,-1.18,-0.32,0.7
,605028,26.45,26.98,27.15,26.45,11319,30406196.0,,,,,,2025-12-24,2.62,1.01,0.27,0.71
,605028,26.96,27.78,28.65,26.93,22189,61698504.0,,,,,,2025-12-25,6.38,2.97,0.8,1.39
,605028,27.7,27.51,28.01,27.4,12077,33431408.0,,,,,,2025-12-26,2.2,-0.97,-0.27,0.75
,605028,27.69,27.74,28.2,27.3,15825,43823889.0,,,,,,2025-12-29,3.27,0.84,0.23,0.99
,605028,27.75,30.51,30.51,27.31,53750,158219414.0,,,,,,2025-12-30,11.54,9.99,2.77,3.36
,605028,31.76,29.54,32.6,29.3,75023,232189841.0,,,,,,2025-12-31,10.82,-3.18,-0.97,4.69
,605028,29.52,29.2,30.38,28.99,39571,116554394.0,,,,,,2026-01-05,4.71,-1.15,-0.34,2.47
,605028,29.2,29.0,29.94,28.71,32197,94125822.0,,,,,,2026-01-06,4.21,-0.68,-0.2,2.01
,605028,28.94,29.36,29.65,28.4,38118,110962641.0,,,,,,2026-01-07,4.31,1.24,0.36,2.38
,605028,29.5,32.3,32.3,29.47,63152,199367088.0,,,,,,2026-01-08,9.64,10.01,2.94,3.95
,605028,32.0,34.95,35.5,31.25,100244,334378418.0,,,,,,2026-01-09,13.16,8.2,2.65,6.27
2021-07-12,605028,14.02,17.42,17.42,14.02,2149,4383967.0,30.41,55.81,6.24,0.54,605028.0,,,,,
